Gene	sgRNA	beta	pval	fdr	common_essential	significant	beta_rank	pval_rank
POP5	2	-1.7163	3.4802e-20	6.5296e-16	TRUE	TRUE	1	1
YARS2	2	-1.5223	4.2366000000000003e-19	3.9743e-15	TRUE	TRUE	4	2
PCNA	2	-1.4287	3.1156e-17	1.6126e-13	TRUE	TRUE	9	3
MED21	2	-1.4226	3.438e-17	1.6126e-13	TRUE	TRUE	10	4
SF3B5	2	-1.399	1.8178e-16	6.0224e-13	TRUE	TRUE	11	5
ZBTB11	2	-1.4493	1.9259e-16	6.0224e-13	TRUE	TRUE	7	6
MASTL	2	-1.4597	7.9658e-16	2.1351e-12	TRUE	TRUE	6	7
RSL24D1	2	-1.5005	1.031e-15	2.418e-12	TRUE	TRUE	5	8
NUS1	2	-1.3151	1.2678e-15	2.643e-12	TRUE	TRUE	20	9
PPCS	2	-1.1858	2.1301e-15	3.9965e-12	TRUE	TRUE	44	10
PGAM1	2	-1.2823	4.2325e-15	7.2191e-12	TRUE	TRUE	26	11
DHX8	2	-1.1666	6.7e-15	1.0475e-11	TRUE	TRUE	50	12
DDX23	2	-1.2755	8.4906e-15	1.2254e-11	TRUE	TRUE	27	13
HSPE1	2	-1.5262	1.1827e-14	1.585e-11	TRUE	TRUE	3	14
SRSF1	2	-1.3618	1.7411e-14	2.0687e-11	TRUE	TRUE	17	15
EIF1AX	2	-1.3075	1.7654e-14	2.0687e-11	TRUE	TRUE	22	16
MED30	2	-1.5386	1.8744e-14	2.0687e-11	TRUE	TRUE	2	17
INTS9	2	-1.367	2.1702e-14	2.2621e-11	TRUE	TRUE	16	18
MED11	2	-1.3332	2.6761e-14	2.6426e-11	TRUE	TRUE	19	19
PGK1	2	-1.2201	5.1083e-14	4.7921e-11	TRUE	TRUE	38	20
MRPL57	2	-1.1571	6.7529e-14	6.0333e-11	TRUE	TRUE	55	21
DUT	2	-1.192	1.8973e-13	1.618e-10	TRUE	TRUE	42	22
FTSJ3	2	-1.3746	2.7111e-13	2.2115e-10	TRUE	TRUE	15	23
COA5	2	-1.0651	3.2193e-13	2.5167e-10	TRUE	TRUE	93	24
GINS2	2	-1.3132	3.5629e-13	2.6739e-10	TRUE	TRUE	21	25
PRIM1	2	-1.1199	5.0785e-13	3.6647e-10	TRUE	TRUE	69	26
