GENE	K27M-KO	common_essential	K27M	HumanGene	Diff	Rank	Group	Specific_Essential_Group	rank_Label	abs_diff_rank	Label
A1BG	-0.9168240734709828	FALSE	-0.5090679783074789	A1BG	0.407756095163504	8654	None	None		10000	
A1CF	-1.4497492346772616	FALSE	-0.8698196493883215	A1CF	0.5799295852889401	5830	None	None		10000	
A2M	-1.3824008337132807	FALSE	-0.5122461848909069	A2M	0.8701546488223738	2364	None	None		10000	
A2ML1	-1.3997264378297398	FALSE	-0.036372808677008456	A2ML1	1.3633536291527313	253	None	None		10000	
A3GALT2	-1.4536572656809743	FALSE	-0.7429940723924834	A3GALT2	0.7106631932884909	4058	None	None		10000	
A4GALT	0.2787728782648342	FALSE	0.0397023584310758	A4GALT	-0.2390705198337584	16933	None	None		10000	
A4GNT	-0.6876831889532989	FALSE	-0.15653928616471185	A4GNT	0.5311439027885871	6646	None	None		10000	
AAAS	-1.1322868494756724	FALSE	-0.3853701601715223	AAAS	0.7469166893041501	3603	None	None		10000	
AACS	-1.3766690549078353	FALSE	-0.5028629083112625	AACS	0.8738061465965729	2332	None	None		10000	
AADAC	-1.3860483293167458	FALSE	-0.7629713709168875	AADAC	0.6230769583998583	5211	None	None		10000	
AADACL2	-0.7155604767797824	FALSE	-0.5998234329675874	AADACL2	0.11573704381219496	13358	None	None		10000	
AADACL3	-0.604963199374715	FALSE	-0.47753815109093206	AADACL3	0.12742504828378293	13182	None	None		10000	
AADACL4	-0.5615840552335047	FALSE	-0.4839450119813344	AADACL4	0.07763904325217036	13846	None	None		10000	
AADAT	-0.9717970429232071	FALSE	-0.27942994072392485	AADAT	0.6923671021992823	4291	None	None		10000	
AAGAB	-0.14472741483749102	FALSE	-0.363778534493631	AAGAB	-0.21905111965614	16828	None	None		10000	
AAK1	-1.1053214355500551	FALSE	-0.4529701097237987	AAK1	0.6523513258262564	4810	None	None		10000	
AAMDC	-0.6221585357910505	FALSE	-0.6944633623407744	AAMDC	-0.07230482654972392	15611	None	None		10000	
AAMP	0.49788314987298893	TRUE	0.8785471055618616	AAMP	0.3806639556888726	9080	Common Essential	None		10000	
AANAT	-0.5833387611541717	FALSE	-0.5720771850170262	AANAT	0.011261576137145513	14690	None	None		10000	
AAR2	-0.4073470982869797	FALSE	-0.7791650901753059	AAR2	-0.3718179918883262	17641	None	None		10000	
AARD	-0.6004038298703835	FALSE	-0.7159036448480264	AARD	-0.11549981497764283	16012	None	None		10000	
AARS1	2.1236240474174424	TRUE	1.3072014125362594	AARS1	-0.8164226348811829	18507	Common Essential	None		10000	
AARS2	-0.09535595649058815	TRUE	0.2231302812460588	AARS2	0.31848623773664697	10140	Common Essential	None		10000	
AARSD1	-0.6740050804403048	FALSE	-0.5374700466641443	AARSD1	0.1365350337761605	13058	None	None		10000	
AASDH	-0.9991532599491955	FALSE	-0.9252616975658975	AASDH	0.07389156238329797	13900	None	None		10000	
AASDHPPT	1.6596104995766299	FALSE	1.6508008576113005	AASDHPPT	-0.008809641965329407	14929	None	None		10000	
AASS	-0.9849540806357062	FALSE	-0.4419220582671207	AASS	0.5430320223685855	6455	None	None		10000	
AATF	-0.15215267374454503	TRUE	0.027140875268003534	AATF	0.17929354901254857	12388	Common Essential	None		10000	
AATK	-0.6151240799843679	FALSE	-0.2763526295875899	AATK	0.33877145039677803	9787	None	None		10000	
ABAT	-0.8747476063310101	FALSE	-0.47092949930634387	ABAT	0.40381810702466625	8716	None	None		10000	
ABCA1	-1.0761414707223342	FALSE	-0.21990162693908438	ABCA1	0.8562398437832499	2490	None	None		10000	
ABCA10	-0.9075750667621961	FALSE	-0.4684071131290201	ABCA10	0.439167953633176	8151	None	None		10000	
ABCA12	-0.36279554484465576	FALSE	-0.6595535376466137	ABCA12	-0.29675799280195797	17284	None	None		10000	
ABCA13	-0.7314531361948804	FALSE	-0.6775129272291588	ABCA13	0.0539402089657216	14188	None	None		10000	
ABCA2	-0.5055689441802904	FALSE	-0.5533610795812839	ABCA2	-0.047792135400993474	15358	None	None		10000	
