Gene	CON	KO	d11	d21	HumanGene	common_essential	Group	Diff	Abs_Diff	Abs_Rank	Abs_Label	Rank	Label	EntrezID
CLNS1A	-0.6727145532913591	-2.959330565694278	-1.2175089558893624	-2.334163264987551	CLNS1A	TRUE	Common Essential	2.286616012402919	2.286616012402919	5	CLNS1A	1	CLNS1A	1207
PSMB4	-0.5187416785142057	-2.7772979298431366	-1.9090112390645904	-1.7236561741451575	PSMB4	TRUE	Common Essential	2.258556251328931	2.258556251328931	7	PSMB4	2	PSMB4	5692
SARS2	-0.6622887188861056	-2.8632990629034207	-1.9855475776817701	-1.8564972721525408	SARS2	TRUE	Common Essential	2.201010344017315	2.201010344017315	8	SARS2	3	SARS2	54938
RNMT	-0.011841671744183423	-2.1637736479897467	-0.46512199996925024	-1.5905028761424567	RNMT	TRUE	Common Essential	2.1519319762455633	2.1519319762455633	10	RNMT	4	RNMT	8731
PDCD2	0.1316114909845869	-1.8196205176785267	-0.6648729263080212	-1.1006454734903177	PDCD2	TRUE	Common Essential	1.9512320086631136	1.9512320086631136	15	PDCD2	5	PDCD2	5134
AK6	-0.7247760250942161	-2.623313179720079	-1.3690133915530205	-2.011036269834456	AK6	TRUE	Common Essential	1.8985371546258627	1.8985371546258627	19		6	AK6	102157402
PCGF2	0.4129262293232234	-1.3787486185023172	-0.6078627327378116	-0.5644888115326678	PCGF2	FALSE	Upper	1.7916748478255407	1.7916748478255407	24		7	PCGF2	7703
WAC	0.5246767314332137	-1.239567951111235	-0.1864208729878077	-0.5841574112376388	WAC	FALSE	Upper	1.7642446825444487	1.7642446825444487	27		8		51322
GTF2H1	-0.1268205718412204	-1.8571415303743743	-0.7133961654956106	-1.286279590705806	GTF2H1	TRUE	Common Essential	1.730320958533154	1.730320958533154	32		9		2965
CREBBP	0.9536704804459187	-0.7271832307077912	0.07623806522039944	0.009850378152244326	CREBBP	FALSE	Upper	1.68085371115371	1.68085371115371	35		10		1387
ZDHHC21	0.8442443526730304	-0.8020580832706435	-0.24619855168278473	0.034922691476159624	ZDHHC21	FALSE	Upper	1.646302435943674	1.646302435943674	38		11		340481
CDK6	-0.5375397738812537	-2.1595014534748733	-1.2192924463031012	-1.5677122764843157	CDK6	FALSE	Upper	1.6219616795936196	1.6219616795936196	41		12		1021
PAPOLA	0.5131902601945253	-1.0934031744262722	-0.2002490736612291	-0.46224331306635025	PAPOLA	FALSE	Upper	1.6065934346207975	1.6065934346207975	44		13		10914
DOLK	0.12042064405479204	-1.4776220593835039	0.1218369951261512	-1.2203273416950897	DOLK	FALSE	Upper	1.598042703438296	1.598042703438296	47		14		22845
CFHR5	0.9219642091485568	-0.6199882979019811	0.37188850109930666	-0.07207449091888263	CFHR5	FALSE	Upper	1.5419525070505378	1.5419525070505378	53		15		81494
LTO1	-1.0936745424593235	-2.6060386540729805	-1.7422548853799913	-2.0622370690664438	ORAOV1	TRUE	Common Essential	1.512364111613657	1.512364111613657	56		16		220064
KDSR	0.5491842123079006	-0.9421674885997418	0.01002475361694931	-0.4169899237451511	KDSR	FALSE	Upper	1.4913517009076425	1.4913517009076425	59		17		2531
RPLP2	-1.0557849840904474	-2.5412127459994616	-1.5376454851555175	-2.085339868719902	RPLP2	TRUE	Common Essential	1.4854277619090142	1.4854277619090142	61		18		6181
PARD6G	0.7582650689413941	-0.7160940997278797	-0.06507280023369875	-0.044249666336255	PARD6G	FALSE	Upper	1.4743591686692739	1.4743591686692739	63		19		84552
ZCCHC9	-0.14320402590661882	-1.6018314712137676	-0.4464261004597101	-1.2185790217213146	ZCCHC9	TRUE	Common Essential	1.4586274453071488	1.4586274453071488	67		20		84240
PHF19	0.4987249791257644	-0.9598878084570877	-0.19144539598099664	-0.3645091045323634	PHF19	FALSE	Upper	1.458612787582852	1.458612787582852	68		21		26147
TNFAIP6	0.5891724776025093	-0.8661967252700307	-0.1205024522993189	-0.25923526611147096	TNFAIP6	FALSE	Upper	1.45536920287254	1.45536920287254	69		22		7130
