GENE	BF
A1BG	-10.091
A1CF	-17.242
A2M	-10.154
A2ML1	-0.721
A3GALT2	-14.728
A4GALT	0.787
A4GNT	-3.103
AAAS	-7.639
AACS	-9.968
AADAC	-15.124
AADACL2	-11.890
AADACL3	-9.466
AADACL4	-9.593
AADAT	-5.539
AAGAB	-7.211
AAK1	-8.979
AAMDC	-13.766
AAMP	17.415
AANAT	-11.340
AAR2	-15.445
AARD	-14.191
AARS1	25.912
AARS2	4.423
AARSD1	-10.654
AASDH	-18.341
AASDHPPT	32.723
AASS	-8.760
AATF	0.538
AATK	-5.478
ABAT	-9.335
ABCA1	-4.359
ABCA10	-9.285
ABCA12	-13.074
ABCA13	-13.430
ABCA2	-10.969
ABCA3	-8.695
ABCA4	-14.601
ABCA5	-13.053
ABCA6	-9.389
ABCA7	-13.419
ABCA8	-10.450
ABCA9	-15.015
ABCB1	-18.488
ABCB10	-13.638
ABCB11	-20.829
ABCB4	-12.547
ABCB5	-18.112
ABCB6	-8.239
ABCB7	38.291
ABCB8	-13.465
ABCB9	-13.369
ABCC1	-18.334
ABCC10	-9.468
ABCC11	-13.112
ABCC12	-11.928
ABCC2	-10.981
ABCC3	-11.252
ABCC4	-8.607
ABCC5	-4.850
ABCC6	-14.397
ABCC8	-8.871
ABCC9	-15.645
ABCD1	-9.981
ABCD2	-8.496
ABCD3	-9.412
ABCD4	-5.777
ABCE1	21.217
ABCF1	30.120
ABCF2	1.377
ABCF3	-12.187
ABCG1	-13.603
ABCG2	-6.862
ABCG4	-10.463
ABCG5	-14.212
ABCG8	-10.479
ABHD1	-9.675
ABHD10	-6.921
ABHD11	-2.303
ABHD12	-7.133
ABHD12B	-5.035
ABHD13	-16.405
ABHD14A	-3.602
ABHD14B	-9.075
ABHD15	-7.315
ABHD16A	-7.921
ABHD16B	-11.077
ABHD17A	-10.287
ABHD17B	-12.088
ABHD17C	-8.362
ABHD18	-8.989
ABHD2	-21.843
ABHD3	-14.270
ABHD4	-8.394
ABHD5	-5.847
ABHD6	-13.696
ABHD8	-11.154
ABI1	-17.232
ABI2	-14.022
ABI3	-12.294
ABI3BP	-8.143
ABITRAM	-4.871
ABL1	-6.886
ABL2	-14.740
ABLIM1	-14.775
ABLIM2	-4.074
ABLIM3	-7.155
ABO	-8.883
ABR	-8.484
ABRA	-11.107
ABRACL	-10.244
ABRAXAS1	-9.511
ABRAXAS2	-19.293
ABT1	38.909
ABTB1	-9.137
ABTB2	-2.898
ACAA1	-9.762
ACAA2	-12.691
ACACA	49.369
ACACB	-13.692
ACAD10	-9.163
ACAD11	-7.927
ACAD8	-8.542
ACAD9	7.923
ACADL	-8.174
ACADM	-14.406
ACADS	-9.312
ACADSB	-8.127
ACADVL	-9.761
ACAN	-6.456
ACAP1	-12.993
ACAP2	-3.771
ACAP3	-10.229
ACAT1	-6.164
ACAT2	2.578
ACBD3	-6.815
ACBD4	-4.516
ACBD5	-15.537
ACBD6	-11.225
ACBD7	-17.274
ACCS	-8.835
ACCSL	-12.627
ACD	-12.383
ACE	-2.228
ACE2	-12.089
ACER1	-3.803
ACER2	-15.811
ACER3	-18.091
ACHE	-15.058
ACIN1	7.254
ACKR1	-16.465
ACKR2	-4.732
ACKR3	-11.144
ACKR4	-14.328
ACLY	-5.262
ACMSD	-6.633
ACO1	-11.509
ACO2	1.479
ACOD1	-9.382
ACOT1	-15.111
ACOT11	-14.923
ACOT12	-5.874
ACOT13	-9.932
ACOT2	-11.384
ACOT4	-7.776
ACOT6	-10.615
ACOT7	-15.999
