GENE	BF
A1BG	-7.053
A1CF	-8.420
A2M	-9.525
A2ML1	-3.647
A3GALT2	-14.198
A4GALT	-0.190
A4GNT	-1.535
AAAS	-4.444
AACS	-6.786
AADAC	-15.235
AADACL2	-10.774
AADACL3	-5.230
AADACL4	-8.439
AADAT	-8.754
AAGAB	-3.417
AAK1	-7.819
AAMDC	-8.016
AAMP	4.634
AANAT	-3.032
AAR2	-10.118
AARD	-6.073
AARS1	22.908
AARS2	1.771
AARSD1	-8.872
AASDH	-10.931
AASDHPPT	3.639
AASS	-9.671
AATF	1.797
AATK	-6.234
ABAT	-7.451
ABCA1	-12.515
ABCA10	-11.147
ABCA12	-10.565
ABCA13	-7.457
ABCA2	-9.505
ABCA3	-2.483
ABCA4	-7.455
ABCA5	-9.135
ABCA6	-7.317
ABCA7	-10.904
ABCA8	-5.948
ABCA9	-9.907
ABCB1	-8.298
ABCB10	-11.285
ABCB11	-10.391
ABCB4	-8.259
ABCB5	-12.004
ABCB6	-7.068
ABCB7	30.273
ABCB8	-8.601
ABCB9	-9.645
ABCC1	-10.796
ABCC10	-4.499
ABCC11	-13.382
ABCC12	-8.670
ABCC2	-10.062
ABCC3	-11.431
ABCC4	-4.487
ABCC5	-5.399
ABCC6	-5.569
ABCC8	-11.447
ABCC9	-11.840
ABCD1	-7.713
ABCD2	-6.819
ABCD3	-6.835
ABCD4	-2.388
ABCE1	15.272
ABCF1	16.686
ABCF2	-1.526
ABCF3	-9.195
ABCG1	-10.136
ABCG2	-5.748
ABCG4	-5.662
ABCG5	-10.267
ABCG8	-12.730
ABHD1	-7.378
ABHD10	-5.123
ABHD11	-0.710
ABHD12	-8.576
ABHD12B	-3.340
ABHD13	-16.092
ABHD14A	-4.149
ABHD14B	-8.589
ABHD15	-4.881
ABHD16A	-5.436
ABHD16B	-8.326
ABHD17A	-6.903
ABHD17B	-7.402
ABHD17C	-9.217
ABHD18	-6.390
ABHD2	-14.173
ABHD3	-7.799
ABHD4	-6.705
ABHD5	-4.213
ABHD6	-7.921
ABHD8	-9.817
ABI1	-11.460
ABI2	-11.452
ABI3	-10.312
ABI3BP	-4.992
ABITRAM	-4.053
ABL1	-8.285
ABL2	-9.358
ABLIM1	-8.462
ABLIM2	-2.465
ABLIM3	-6.390
ABO	-5.272
ABR	-6.583
ABRA	-8.007
ABRACL	-9.997
ABRAXAS1	-2.605
ABRAXAS2	-14.143
ABT1	25.660
ABTB1	-5.567
ABTB2	-5.481
ACAA1	-3.322
ACAA2	-10.960
ACACA	37.866
ACACB	-8.492
ACAD10	-5.504
ACAD11	-8.070
ACAD8	-7.500
ACAD9	1.575
ACADL	0.790
ACADM	-8.820
ACADS	-9.114
ACADSB	-2.630
ACADVL	-9.523
ACAN	-9.549
ACAP1	-9.588
ACAP2	-0.107
ACAP3	-9.772
ACAT1	-6.262
ACAT2	-3.791
ACBD3	-2.996
ACBD4	-0.936
ACBD5	-13.240
ACBD6	-8.993
ACBD7	-9.260
ACCS	-6.650
ACCSL	-7.384
ACD	-7.781
ACE	-1.775
ACE2	-5.331
ACER1	-5.863
ACER2	-13.088
ACER3	-13.353
ACHE	-7.871
ACIN1	8.579
ACKR1	-13.368
ACKR2	-3.118
ACKR3	-10.064
ACKR4	-11.773
ACLY	-11.328
ACMSD	-3.594
ACO1	-9.957
ACO2	-6.115
ACOD1	-10.402
ACOT1	-9.375
ACOT11	-8.082
ACOT12	-2.672
ACOT13	-8.231
ACOT2	-2.658
ACOT4	-4.489
ACOT6	-1.243
ACOT7	-9.083
ACOT8	-10.084
ACOT9	-5.332
ACOX1	-5.595
ACOX2	-2.159
ACOX3	-9.499
ACOXL	-13.898
ACP1	-8.894
ACP2	-5.996
