GENE	BF
A1BG	-17.354
A1CF	-27.542
A2M	-22.822
A2ML1	-17.333
A3GALT2	-27.559
A4GALT	4.797
A4GNT	-9.601
AAAS	-18.188
AACS	-22.844
AADAC	-26.937
AADACL2	-15.979
AADACL3	-13.260
AADACL4	-12.173
AADAT	-14.742
AAGAB	-5.482
AAK1	-18.276
AAMDC	-15.466
AAMP	17.768
AANAT	-13.891
AAR2	-14.393
AARD	-15.595
AARS1	42.816
AARS2	2.214
AARSD1	-14.518
AASDH	-22.943
AASDHPPT	41.250
AASS	-17.262
AATF	-1.101
AATK	-10.949
ABAT	-16.451
ABCA1	-15.755
ABCA10	-16.936
ABCA12	-11.995
ABCA13	-17.259
ABCA2	-12.020
ABCA3	-15.156
ABCA4	-18.652
ABCA5	-14.243
ABCA6	-14.150
ABCA7	-20.993
ABCA8	-23.512
ABCA9	-25.246
ABCB1	-24.882
ABCB10	-21.316
ABCB11	-23.815
ABCB4	-24.837
ABCB5	-17.451
ABCB6	-6.879
ABCB7	52.410
ABCB8	-14.841
ABCB9	-25.924
ABCC1	-23.964
ABCC10	-18.358
ABCC11	-17.837
ABCC12	-19.121
ABCC2	-16.893
ABCC3	-15.414
ABCC4	-13.142
ABCC5	-15.254
ABCC6	-13.891
ABCC8	-21.279
ABCC9	-26.052
ABCD1	-18.642
ABCD2	-13.141
ABCD3	-18.010
ABCD4	-7.069
ABCE1	33.593
ABCF1	39.221
ABCF2	-13.096
ABCF3	-30.874
ABCG1	-21.925
ABCG2	-18.903
ABCG4	-14.991
ABCG5	-17.935
ABCG8	-10.581
ABHD1	-19.424
ABHD10	-8.269
ABHD11	-8.661
ABHD12	-18.661
ABHD12B	-14.362
ABHD13	-25.168
ABHD14A	-12.987
ABHD14B	-15.609
ABHD15	-15.590
ABHD16A	-12.214
ABHD16B	-25.352
ABHD17A	-15.264
ABHD17B	-26.697
ABHD17C	-22.805
ABHD18	-14.980
ABHD2	-21.478
ABHD3	-20.823
ABHD4	-15.647
ABHD5	-14.159
ABHD6	-22.735
ABHD8	-14.440
ABI1	-18.818
ABI2	-21.229
ABI3	-19.980
ABI3BP	-16.246
ABITRAM	-14.145
ABL1	-20.092
ABL2	-20.880
ABLIM1	-20.067
ABLIM2	-18.900
ABLIM3	-10.838
ABO	-19.368
ABR	-16.245
ABRA	-22.566
ABRACL	-17.114
ABRAXAS1	-17.050
ABRAXAS2	-15.553
ABT1	61.979
ABTB1	-21.694
ABTB2	-6.961
ACAA1	-19.010
ACAA2	-23.930
ACACA	56.003
ACACB	-17.804
ACAD10	-12.578
ACAD11	-15.442
ACAD8	-19.673
ACAD9	4.426
ACADL	-14.662
ACADM	-22.129
ACADS	-13.849
ACADSB	-15.668
ACADVL	-16.914
ACAN	-10.245
ACAP1	-13.927
ACAP2	-6.988
ACAP3	-16.614
ACAT1	-17.806
ACAT2	8.022
ACBD3	-13.699
ACBD4	-24.073
ACBD5	-18.417
ACBD6	-25.048
ACBD7	-24.239
ACCS	-16.772
ACCSL	-20.276
ACD	-6.190
ACE	-19.222
ACE2	-23.342
ACER1	-10.162
ACER2	-26.576
ACER3	-25.603
ACHE	-20.870
ACIN1	-5.322
ACKR1	-16.178
ACKR2	-19.387
ACKR3	-20.847
ACKR4	-16.326
ACLY	-9.722
ACMSD	-14.852
ACO1	-17.067
ACO2	-4.549
ACOD1	-16.027
ACOT1	-24.640
ACOT11	-17.274
ACOT12	-9.964
ACOT13	-18.180
ACOT2	-16.280
ACOT4	-18.695
ACOT6	-19.204
ACOT7	-26.365
ACOT8	-19.333
ACOT9	-21.828
ACOX1	-8.409
ACOX2	-17.507
ACOX3	-9.911
ACOXL	-20.166
ACP1	-11.747
ACP2	-15.018
ACP4	-27.789
ACP5	-16.625
ACP6	-26.828
ACP7	-16.853
ACPP	-17.240
ACR	1.923
ACRBP	-20.373
ACRV1	-21.812
ACSBG1	-18.384
ACSBG2	-17.643
ACSF2	-16.171
ACSF3	-12.571
ACSL1	-23.995
ACSL3	-10.042
ACSL4	-22.041
ACSL5	-24.428
ACSL6	-24.318
ACSM1	-27.255
ACSM2A	-27.237
ACSM2B	-20.290
ACSM3	-20.146
ACSM4	-23.646
ACSM5	-16.313
ACSM6	-19.607
ACSS1	-20.013
ACSS2	-22.980
ACSS3	-13.400
ACTA1	-13.605
ACTA2	-19.274
ACTB	12.674
ACTBL2	-7.159
ACTC1	-0.084
ACTG1	-12.115
ACTG2	-10.548
ACTL10	-20.682
ACTL6A	50.921
ACTL6B	-8.822
ACTL7A	-14.298
ACTL7B	-15.357
ACTL8	-18.160
ACTL9	-18.803
ACTN1	-17.426
ACTN2	-19.306
ACTN3	-8.642
ACTN4	-21.869
ACTR10	49.239
ACTR1A	-16.565
ACTR1B	-15.375
ACTR2	52.106
ACTR3	14.876
ACTR3B	-11.185
ACTR3C	-15.650
ACTR5	1.811
ACTR6	11.697
ACTR8	10.198
ACTRT1	-14.760
ACTRT2	-20.222
ACTRT3	-9.337
ACVR1	-18.383
ACVR1B	-24.414
ACVR1C	-23.832
ACVR2A	-11.427
ACVR2B	-28.435
ACVRL1	-7.831
ACY1	-17.879
ACY3	-14.872
ACYP1	-15.673
ACYP2	-13.832
ADA	-18.564
ADA2	-19.028
ADAD1	-23.282
ADAD2	-18.960
ADAL	-7.509
ADAM10	-6.609
ADAM11	0.452
ADAM12	-15.984
ADAM15	-9.473
ADAM17	-29.889
ADAM18	-21.599
ADAM19	-20.574
ADAM2	-15.247
ADAM20	-26.374
ADAM21	-26.404
ADAM22	-25.589
ADAM23	-27.721
ADAM28	-18.753
ADAM29	-11.020
ADAM30	-18.461
ADAM32	-17.862
ADAM33	-18.522
ADAM7	-32.764
ADAM8	-20.338
ADAM9	-13.155
ADAMDEC1	-27.528
ADAMTS1	-21.122
ADAMTS10	-12.344
ADAMTS12	-18.485
ADAMTS13	-25.653
ADAMTS14	-19.662
ADAMTS15	-12.605
ADAMTS16	-24.993
ADAMTS17	-14.609
ADAMTS18	-15.355
ADAMTS19	-6.210
ADAMTS2	-13.289
ADAMTS20	-14.051
ADAMTS3	-25.562
ADAMTS4	-11.339
ADAMTS5	-21.595
ADAMTS6	-16.515
ADAMTS7	-21.909
ADAMTS8	-22.518
ADAMTS9	-4.418
ADAMTSL1	-21.852
ADAMTSL2	-10.197
ADAMTSL3	-13.251
ADAMTSL4	-7.877
ADAMTSL5	-11.964
ADAP1	-16.868
ADAP2	-22.925
ADAR	-4.279
ADARB1	-27.218
ADARB2	-17.792
ADAT1	-22.635
ADAT2	-7.238
ADAT3	-15.063
ADCK1	-16.707
ADCK2	-18.669
ADCK5	-4.055
ADCY1	-13.568
ADCY10	-17.106
ADCY2	-25.444
ADCY3	-13.882
ADCY4	-17.231
ADCY5	-14.346
ADCY6	-17.134
ADCY7	-21.285
ADCY8	-25.643
ADCY9	-20.473
ADCYAP1	-15.393
ADCYAP1R1	-16.774
ADD1	-4.341
ADD2	-11.493
ADD3	-14.457
ADGB	-37.206
ADGRA1	-17.348
ADGRA2	-23.115
ADGRA3	-14.932
ADGRB1	-26.431
ADGRB2	-26.925
ADGRB3	-12.339
ADGRD1	-12.129
ADGRD2	-8.625
ADGRE1	-19.411
ADGRE2	-20.198
ADGRE3	-23.191
ADGRE5	-9.945
ADGRF1	-21.242
ADGRF2	-13.202
ADGRF3	-21.812
ADGRF4	-17.579
ADGRF5	-15.653
ADGRG1	-17.078
ADGRG2	-8.921
ADGRG3	-23.152
ADGRG4	-13.954
ADGRG5	-14.038
ADGRG6	-8.702
ADGRG7	-26.424
ADGRL1	-20.362
ADGRL2	-25.243
ADGRL3	-14.710
ADGRL4	-14.611
ADGRV1	-19.921
ADH1A	-5.280
ADH1B	-14.817
ADH1C	-18.286
ADH4	-17.822
ADH5	-26.175
ADH6	-6.251
ADH7	-24.234
ADHFE1	-9.485
ADI1	-11.120
ADIG	-13.692
ADIPOQ	-16.777
ADIPOR1	-15.196
ADIPOR2	-26.330
ADIRF	-7.814
ADK	-18.505
ADM	-11.541
ADM2	-22.209
ADM5	-25.271
ADNP	-17.997
ADNP2	-16.774
ADO	-16.328
ADORA1	-15.619
ADORA2A	-24.341
ADORA2B	-9.199
ADORA3	-27.971
ADPGK	-17.073
ADPRH	-13.813
ADPRHL1	-23.750
