GENE	BF
A1BG	-7.038
A1CF	-11.129
A2M	-10.612
A2ML1	-10.745
A3GALT2	-11.159
A4GALT	2.140
A4GNT	-5.279
AAAS	-8.692
AACS	-10.568
AADAC	-10.640
AADACL2	-5.493
AADACL3	-4.644
AADACL4	-4.311
AADAT	-7.460
AAGAB	-1.111
AAK1	-8.485
AAMDC	-4.776
AAMP	3.822
AANAT	-4.478
AAR2	-3.127
AARD	-4.609
AARS1	16.302
AARS2	-0.732
AARSD1	-5.174
AASDH	-7.670
AASDHPPT	12.740
AASS	-7.561
AATF	-1.168
AATK	-4.722
ABAT	-6.715
ABCA1	-8.261
ABCA10	-6.967
ABCA12	-2.785
ABCA13	-5.615
ABCA2	-3.881
ABCA3	-6.518
ABCA4	-6.310
ABCA5	-4.049
ABCA6	-5.716
ABCA7	-7.774
ABCA8	-10.469
ABCA9	-10.224
ABCB1	-8.224
ABCB10	-8.485
ABCB11	-7.135
ABCB4	-10.971
ABCB5	-4.548
ABCB6	-1.452
ABCB7	16.253
ABCB8	-4.155
ABCB9	-11.301
ABCC1	-8.451
ABCC10	-8.139
ABCC11	-6.177
ABCC12	-7.237
ABCC2	-6.131
ABCC3	-5.602
ABCC4	-5.300
ABCC5	-8.263
ABCC6	-3.248
ABCC8	-10.447
ABCC9	-10.459
ABCD1	-8.179
ABCD2	-5.052
ABCD3	-7.749
ABCD4	-2.423
ABCE1	12.783
ABCF1	12.025
ABCF2	-9.220
ABCF3	-14.854
ABCG1	-8.254
ABCG2	-9.770
ABCG4	-5.622
ABCG5	-5.843
ABCG8	-2.772
ABHD1	-8.772
ABHD10	-2.698
ABHD11	-4.695
ABHD12	-8.767
ABHD12B	-7.544
ABHD13	-9.219
ABHD14A	-7.233
ABHD14B	-6.359
ABHD15	-6.846
ABHD16A	-4.898
ABHD16B	-12.074
ABHD17A	-5.641
ABHD17B	-11.931
ABHD17C	-11.558
ABHD18	-6.139
ABHD2	-5.373
ABHD3	-7.961
ABHD4	-6.852
ABHD5	-7.002
ABHD6	-8.663
ABHD8	-5.078
ABI1	-5.247
ABI2	-8.328
ABI3	-7.847
ABI3BP	-7.427
ABITRAM	-7.368
ABL1	-10.228
ABL2	-7.618
ABLIM1	-7.143
ABLIM2	-10.771
ABLIM3	-4.070
ABO	-8.339
ABR	-7.520
ABRA	-9.520
ABRACL	-7.008
ABRAXAS1	-7.086
ABRAXAS2	-2.694
ABT1	23.756
ABTB1	-10.600
ABTB2	-3.593
ACAA1	-8.188
ACAA2	-10.240
ACACA	16.185
ACACB	-6.266
ACAD10	-4.438
ACAD11	-6.882
ACAD8	-9.607
ACAD9	-0.657
ACADL	-5.828
ACADM	-8.613
ACADS	-5.127
ACADSB	-7.136
ACADVL	-7.088
ACAN	-4.202
ACAP1	-3.878
ACAP2	-3.300
ACAP3	-6.688
ACAT1	-8.571
ACAT2	3.835
ACBD3	-6.214
ACBD4	-13.362
ACBD5	-5.488
ACBD6	-11.398
ACBD7	-9.122
ACCS	-7.338
ACCSL	-8.124
ACD	0.428
ACE	-11.261
ACE2	-10.588
ACER1	-5.105
ACER2	-10.687
ACER3	-9.475
ACHE	-7.504
ACIN1	-6.650
ACKR1	-4.197
ACKR2	-10.749
ACKR3	-8.563
ACKR4	-4.889
ACLY	-4.539
ACMSD	-6.536
ACO1	-6.518
ACO2	-3.957
ACOD1	-6.476
ACOT1	-9.531
ACOT11	-5.169
ACOT12	-4.592
ACOT13	-7.354
ACOT2	-6.063
ACOT4	-8.388
ACOT6	-8.208
ACOT7	-10.109
ACOT8	-7.028
ACOT9	-10.560
ACOX1	-3.074
ACOX2	-9.407
ACOX3	-2.848
ACOXL	-8.474
ACP1	-3.531
ACP2	-6.242
ACP4	-10.323
ACP5	-8.290
ACP6	-9.626
ACP7	-8.894
ACPP	-8.180
ACR	-0.092
ACRBP	-8.966
ACRV1	-7.344
ACSBG1	-6.650
ACSBG2	-8.384
ACSF2	-6.423
ACSF3	-4.724
ACSL1	-9.709
ACSL3	-5.964
ACSL4	-8.622
ACSL5	-10.766
ACSL6	-10.138
ACSM1	-10.322
ACSM2A	-11.873
ACSM2B	-6.148
ACSM3	-6.127
ACSM4	-9.854
ACSM5	-5.465
ACSM6	-7.751
ACSS1	-8.432
ACSS2	-9.366
ACSS3	-3.883
ACTA1	-5.707
ACTA2	-8.987
ACTB	1.710
ACTBL2	-3.128
ACTC1	1.304
ACTG1	-6.282
ACTG2	-4.297
ACTL10	-8.015
ACTL6A	19.899
ACTL6B	-2.044
ACTL7A	-6.065
ACTL7B	-5.905
ACTL8	-8.646
ACTL9	-7.423
ACTN1	-7.358
ACTN2	-8.297
ACTN3	-2.861
ACTN4	-9.027
ACTR10	18.958
ACTR1A	-7.152
ACTR1B	-6.640
ACTR2	15.604
ACTR3	8.040
ACTR3B	-2.637
ACTR3C	-4.648
ACTR5	-1.506
ACTR6	4.897
ACTR8	1.485
ACTRT1	-4.236
ACTRT2	-8.074
ACTRT3	-3.274
ACVR1	-7.593
ACVR1B	-10.342
ACVR1C	-7.659
ACVR2A	-3.544
ACVR2B	-12.116
ACVRL1	-3.324
ACY1	-9.481
ACY3	-5.659
ACYP1	-5.884
ACYP2	-4.710
ADA	-6.576
ADA2	-9.717
ADAD1	-9.626
ADAD2	-7.543
ADAL	-4.031
ADAM10	-0.438
ADAM11	1.876
ADAM12	-3.676
ADAM15	-5.843
ADAM17	-13.987
ADAM18	-10.493
ADAM19	-9.967
ADAM2	-8.105
ADAM20	-10.909
ADAM21	-10.878
ADAM22	-11.050
ADAM23	-10.778
ADAM28	-4.639
ADAM29	-2.920
ADAM30	-6.365
ADAM32	-6.975
ADAM33	-5.853
ADAM7	-16.133
ADAM8	-8.392
ADAM9	-4.111
ADAMDEC1	-10.573
ADAMTS1	-7.174
ADAMTS10	-5.485
ADAMTS12	-6.043
ADAMTS13	-9.438
ADAMTS14	-9.449
ADAMTS15	-4.847
ADAMTS16	-12.016
ADAMTS17	-7.066
ADAMTS18	-5.205
ADAMTS19	-2.663
ADAMTS2	-6.334
ADAMTS20	-6.403
ADAMTS3	-9.452
ADAMTS4	-2.887
ADAMTS5	-9.283
ADAMTS6	-7.977
ADAMTS7	-8.953
ADAMTS8	-10.033
ADAMTS9	-0.333
ADAMTSL1	-8.576
ADAMTSL2	-5.076
ADAMTSL3	-4.692
ADAMTSL4	-6.848
ADAMTSL5	-4.126
ADAP1	-4.872
ADAP2	-8.353
ADAR	-1.085
ADARB1	-11.496
ADARB2	-6.644
ADAT1	-9.397
ADAT2	-4.918
ADAT3	-6.108
ADCK1	-8.602
ADCK2	-6.053
ADCK5	0.563
ADCY1	-4.867
ADCY10	-6.718
ADCY2	-9.657
ADCY3	-7.476
ADCY4	-7.177
ADCY5	-7.497
ADCY6	-7.872
ADCY7	-8.647
ADCY8	-9.579
ADCY9	-8.788
ADCYAP1	-3.876
