GENE	BF
A1BG	-6.185
A1CF	-9.050
A2M	-8.810
A2ML1	-8.046
A3GALT2	-10.032
A4GALT	-3.239
A4GNT	-3.638
AAAS	-8.627
AACS	-7.701
AADAC	-10.437
AADACL2	-2.626
AADACL3	-3.392
AADACL4	-2.458
AADAT	-7.197
AAGAB	-3.167
AAK1	-7.908
AAMDC	-3.522
AAMP	0.820
AANAT	-8.410
AAR2	-3.163
AARD	-8.436
AARS1	20.269
AARS2	-4.954
AARSD1	-1.455
AASDH	-9.136
AASDHPPT	6.731
AASS	-9.667
AATF	-1.553
AATK	-4.868
ABAT	-4.636
ABCA1	-5.007
ABCA10	-5.492
ABCA12	-3.299
ABCA13	-3.257
ABCA2	-0.476
ABCA3	-5.637
ABCA4	-1.431
ABCA5	-6.389
ABCA6	-6.646
ABCA7	-5.434
ABCA8	-9.655
ABCA9	-8.816
ABCB1	-6.546
ABCB10	-4.819
ABCB11	-8.447
ABCB4	-8.477
ABCB5	-4.051
ABCB6	-2.244
ABCB7	18.984
ABCB8	-5.911
ABCB9	-13.059
ABCC1	-5.691
ABCC10	-6.473
ABCC11	-4.850
ABCC12	-9.856
ABCC2	-8.599
ABCC3	-5.952
ABCC4	-6.712
ABCC5	-5.298
ABCC6	-4.286
ABCC8	-10.113
ABCC9	-10.002
ABCD1	-6.649
ABCD2	-9.034
ABCD3	-6.677
ABCD4	-1.479
ABCE1	14.339
ABCF1	9.960
ABCF2	-4.116
ABCF3	-8.670
ABCG1	-8.312
ABCG2	-5.381
ABCG4	-8.048
ABCG5	-5.893
ABCG8	-6.281
ABHD1	-8.820
ABHD10	-3.325
ABHD11	-3.662
ABHD12	-10.502
ABHD12B	-5.000
ABHD13	-9.182
ABHD14A	-9.709
ABHD14B	-3.526
ABHD15	-4.777
ABHD16A	-3.059
ABHD16B	-12.626
ABHD17A	-6.717
ABHD17B	-8.858
ABHD17C	-9.017
ABHD18	-7.088
ABHD2	-3.428
ABHD3	-6.327
ABHD4	-5.498
ABHD5	-6.051
ABHD6	-7.596
ABHD8	-4.282
ABI1	-11.935
ABI2	-8.274
ABI3	-6.677
ABI3BP	-7.487
ABITRAM	-5.397
ABL1	-7.945
ABL2	-13.153
ABLIM1	-2.484
ABLIM2	-4.942
ABLIM3	-10.068
ABO	-8.601
ABR	-4.252
ABRA	-8.512
ABRACL	-5.227
ABRAXAS1	-4.602
ABRAXAS2	-5.984
ABT1	28.741
ABTB1	-12.556
ABTB2	-6.559
ACAA1	-8.177
ACAA2	-10.731
ACACA	18.960
ACACB	-2.039
ACAD10	-3.638
ACAD11	-4.180
ACAD8	-4.785
ACAD9	-3.558
ACADL	-3.389
ACADM	-2.447
ACADS	-4.920
ACADSB	-3.265
ACADVL	-5.511
ACAN	-1.476
ACAP1	-6.023
ACAP2	-3.219
ACAP3	-8.897
ACAT1	-6.020
ACAT2	3.046
ACBD3	-7.327
ACBD4	-8.887
ACBD5	-5.200
ACBD6	-10.059
ACBD7	-8.029
ACCS	-4.437
ACCSL	-8.674
ACD	0.304
ACE	-11.980
ACE2	-11.455
ACER1	-3.880
ACER2	-8.340
ACER3	-6.546
ACHE	-6.035
ACIN1	-9.647
ACKR1	-4.147
ACKR2	-9.674
ACKR3	-10.696
ACKR4	-7.194
ACLY	-2.663
ACMSD	-6.785
ACO1	-6.075
ACO2	-5.400
ACOD1	-6.607
ACOT1	-9.141
ACOT11	-1.018
ACOT12	-4.307
ACOT13	-7.956
ACOT2	-3.619
ACOT4	-7.997
ACOT6	-5.969
ACOT7	-10.841
ACOT8	-4.545
ACOT9	-11.182
ACOX1	-3.761
ACOX2	-6.442
ACOX3	-8.433
ACOXL	-8.424
ACP1	-4.214
ACP2	-7.090
ACP4	-7.895
ACP5	-5.299
ACP6	-7.426
ACP7	-9.607
ACPP	-6.256
ACR	-3.693
ACRBP	-6.135
ACRV1	-5.894
ACSBG1	-6.859
ACSBG2	-8.411
ACSF2	-6.793
ACSF3	-6.446
ACSL1	-7.811
ACSL3	-5.512
