GENE	BF
A1BG	-9.895
A1CF	-17.216
A2M	-10.086
A2ML1	-0.692
A3GALT2	-14.671
A4GALT	0.888
A4GNT	-3.312
AAAS	-7.537
AACS	-9.943
AADAC	-15.255
AADACL2	-11.786
AADACL3	-9.774
AADACL4	-9.480
AADAT	-5.549
AAGAB	-7.207
AAK1	-8.904
AAMDC	-13.636
AAMP	17.452
AANAT	-11.346
AAR2	-15.073
AARD	-14.541
AARS1	25.431
AARS2	4.594
AARSD1	-10.628
AASDH	-18.260
AASDHPPT	32.974
AASS	-8.604
AATF	0.567
AATK	-5.517
ABAT	-9.181
ABCA1	-4.147
ABCA10	-9.231
ABCA12	-12.948
ABCA13	-13.513
ABCA2	-11.141
ABCA3	-8.651
ABCA4	-15.048
ABCA5	-12.734
ABCA6	-9.138
ABCA7	-13.247
ABCA8	-10.539
ABCA9	-15.002
ABCB1	-18.673
ABCB10	-13.607
ABCB11	-20.760
ABCB4	-12.838
ABCB5	-18.013
ABCB6	-8.484
ABCB7	38.117
ABCB8	-13.852
ABCB9	-13.507
ABCC1	-17.856
ABCC10	-9.839
ABCC11	-12.966
ABCC12	-11.770
ABCC2	-11.080
ABCC3	-11.106
ABCC4	-8.710
ABCC5	-4.706
ABCC6	-14.078
ABCC8	-9.140
ABCC9	-15.493
ABCD1	-10.049
ABCD2	-8.389
ABCD3	-9.280
ABCD4	-5.729
ABCE1	21.739
ABCF1	30.489
ABCF2	1.626
ABCF3	-12.092
ABCG1	-14.143
ABCG2	-6.917
ABCG4	-10.356
ABCG5	-14.318
ABCG8	-10.369
ABHD1	-9.527
ABHD10	-6.933
ABHD11	-2.260
ABHD12	-7.143
ABHD12B	-5.055
ABHD13	-16.016
ABHD14A	-3.681
ABHD14B	-9.166
ABHD15	-7.241
ABHD16A	-7.848
ABHD16B	-11.127
ABHD17A	-10.083
ABHD17B	-11.906
ABHD17C	-8.324
ABHD18	-8.908
ABHD2	-22.250
ABHD3	-13.934
ABHD4	-8.181
ABHD5	-5.793
ABHD6	-13.638
ABHD8	-11.173
ABI1	-17.205
ABI2	-13.893
ABI3	-12.353
ABI3BP	-8.187
ABITRAM	-4.917
ABL1	-7.017
ABL2	-14.642
ABLIM1	-14.915
ABLIM2	-4.112
ABLIM3	-7.238
ABO	-9.024
ABR	-8.399
ABRA	-10.828
