GENE	BF
A1BG	-7.028
A1CF	-8.506
A2M	-9.206
A2ML1	-3.698
A3GALT2	-13.906
A4GALT	-0.358
A4GNT	-1.692
AAAS	-4.536
AACS	-6.816
AADAC	-15.397
AADACL2	-10.671
AADACL3	-5.218
AADACL4	-8.147
AADAT	-8.890
AAGAB	-3.508
AAK1	-7.887
AAMDC	-8.128
AAMP	4.511
AANAT	-3.051
AAR2	-9.973
AARD	-6.061
AARS1	23.213
AARS2	1.707
AARSD1	-8.808
AASDH	-11.200
AASDHPPT	3.543
AASS	-9.744
AATF	1.749
AATK	-6.256
ABAT	-7.512
ABCA1	-12.468
ABCA10	-11.125
ABCA12	-10.419
ABCA13	-7.349
ABCA2	-9.363
ABCA3	-2.525
ABCA4	-7.314
ABCA5	-8.992
ABCA6	-7.322
ABCA7	-10.893
ABCA8	-6.054
ABCA9	-9.729
ABCB1	-8.309
ABCB10	-10.883
ABCB11	-10.393
ABCB4	-8.219
ABCB5	-11.762
ABCB6	-7.196
ABCB7	29.972
ABCB8	-8.740
ABCB9	-9.630
ABCC1	-10.999
ABCC10	-4.566
ABCC11	-13.232
ABCC12	-8.485
ABCC2	-10.197
ABCC3	-11.272
ABCC4	-4.533
ABCC5	-5.388
ABCC6	-5.523
ABCC8	-11.538
ABCC9	-11.766
ABCD1	-7.652
ABCD2	-6.792
ABCD3	-6.946
ABCD4	-2.450
ABCE1	14.886
ABCF1	16.538
ABCF2	-1.445
ABCF3	-9.083
ABCG1	-10.116
ABCG2	-5.732
ABCG4	-5.563
ABCG5	-10.216
ABCG8	-12.835
ABHD1	-7.509
ABHD10	-5.069
ABHD11	-0.743
ABHD12	-8.644
ABHD12B	-3.444
ABHD13	-16.108
ABHD14A	-3.900
ABHD14B	-8.560
ABHD15	-4.632
ABHD16A	-5.614
ABHD16B	-8.451
ABHD17A	-6.821
ABHD17B	-7.453
ABHD17C	-9.287
ABHD18	-6.326
ABHD2	-14.230
ABHD3	-7.972
ABHD4	-6.714
ABHD5	-4.157
ABHD6	-7.957
