GENE	BF
A1BG	-6.618
A1CF	-10.875
A2M	-10.753
A2ML1	-10.651
A3GALT2	-10.702
A4GALT	2.240
A4GNT	-5.202
AAAS	-8.749
AACS	-10.718
AADAC	-11.100
AADACL2	-5.420
AADACL3	-4.822
AADACL4	-4.414
AADAT	-7.467
AAGAB	-1.032
AAK1	-8.338
AAMDC	-4.625
AAMP	3.753
AANAT	-4.545
AAR2	-3.214
AARD	-4.566
AARS1	16.019
AARS2	-0.873
AARSD1	-5.243
AASDH	-7.723
AASDHPPT	12.437
AASS	-7.689
AATF	-1.206
AATK	-4.974
ABAT	-7.263
ABCA1	-8.566
ABCA10	-7.342
ABCA12	-2.611
ABCA13	-5.352
ABCA2	-3.711
ABCA3	-6.540
ABCA4	-6.481
ABCA5	-4.281
ABCA6	-5.449
ABCA7	-8.185
ABCA8	-10.646
ABCA9	-10.326
ABCB1	-8.585
ABCB10	-8.816
ABCB11	-6.466
ABCB4	-10.726
ABCB5	-4.161
ABCB6	-1.345
ABCB7	16.772
ABCB8	-4.393
ABCB9	-11.070
ABCC1	-8.236
ABCC10	-7.721
ABCC11	-6.592
ABCC12	-7.371
ABCC2	-6.396
ABCC3	-5.859
ABCC4	-5.121
ABCC5	-7.471
ABCC6	-3.404
ABCC8	-9.946
ABCC9	-10.650
ABCD1	-7.912
ABCD2	-5.053
ABCD3	-7.947
ABCD4	-2.598
ABCE1	12.455
ABCF1	12.342
ABCF2	-8.923
ABCF3	-14.244
ABCG1	-8.715
ABCG2	-9.678
ABCG4	-5.707
ABCG5	-5.881
ABCG8	-2.858
ABHD1	-8.336
ABHD10	-2.748
ABHD11	-4.604
ABHD12	-9.221
ABHD12B	-7.168
ABHD13	-9.842
ABHD14A	-7.173
ABHD14B	-6.012
ABHD15	-6.682
ABHD16A	-4.995
ABHD16B	-11.600
ABHD17A	-5.979
ABHD17B	-12.634
ABHD17C	-11.269
ABHD18	-5.815
ABHD2	-5.353
ABHD3	-8.035
ABHD4	-6.682
ABHD5	-7.163
ABHD6	-9.392
ABHD8	-4.908
ABI1	-5.494
ABI2	-8.247
ABI3	-7.944
ABI3BP	-7.294
ABITRAM	-7.217
ABL1	-9.213
ABL2	-7.669
ABLIM1	-6.616
ABLIM2	-10.911
ABLIM3	-4.388
ABO	-8.802
ABR	-7.375
ABRA	-9.854
ABRACL	-6.620
ABRAXAS1	-7.028
ABRAXAS2	-2.576
ABT1	20.128
ABTB1	-10.375
ABTB2	-3.556
ACAA1	-8.642
ACAA2	-10.386
ACACA	15.689
ACACB	-5.902
ACAD10	-4.734
ACAD11	-7.176
ACAD8	-9.691
ACAD9	-0.832
ACADL	-6.079
ACADM	-8.787
ACADS	-5.163
ACADSB	-6.951
ACADVL	-7.347
ACAN	-4.020
ACAP1	-3.858
ACAP2	-3.272
ACAP3	-6.628
ACAT1	-9.048
ACAT2	3.786
ACBD3	-6.245
ACBD4	-13.472
ACBD5	-5.394
ACBD6	-11.489
ACBD7	-8.955
ACCS	-7.323
ACCSL	-8.246
ACD	0.602
ACE	-11.341
ACE2	-10.287
ACER1	-5.023
ACER2	-9.908
ACER3	-8.566
ACHE	-7.480
ACIN1	-6.276
ACKR1	-4.039
ACKR2	-10.399
ACKR3	-8.310
ACKR4	-5.033
ACLY	-4.343
ACMSD	-6.876
ACO1	-6.713
ACO2	-3.875
ACOD1	-6.480
ACOT1	-9.519
ACOT11	-5.092
ACOT12	-4.524
ACOT13	-7.679
ACOT2	-6.001
ACOT4	-8.755
ACOT6	-7.659
ACOT7	-10.454
ACOT8	-6.899
ACOT9	-10.701
ACOX1	-3.054
ACOX2	-9.382
ACOX3	-2.891
ACOXL	-8.199
ACP1	-3.289
ACP2	-6.087
ACP4	-10.298
ACP5	-7.499
ACP6	-9.149
ACP7	-8.269
ACPP	-8.612
ACR	-0.091
ACRBP	-9.197
ACRV1	-7.738
ACSBG1	-6.048
ACSBG2	-8.456
ACSF2	-5.980
ACSF3	-4.769
ACSL1	-9.663
ACSL3	-6.223
ACSL4	-8.177
ACSL5	-10.510
ACSL6	-10.591
ACSM1	-10.252
ACSM2A	-11.563
ACSM2B	-6.316
ACSM3	-6.001
ACSM4	-9.858
ACSM5	-5.394
ACSM6	-7.770
ACSS1	-8.512
ACSS2	-8.670
ACSS3	-3.811
ACTA1	-5.597
ACTA2	-9.067
ACTB	1.902
ACTBL2	-3.124
ACTC1	1.181
ACTG1	-6.159
ACTG2	-4.114
ACTL10	-7.999
ACTL6A	19.995
ACTL6B	-2.202
ACTL7A	-5.861
ACTL7B	-6.016
ACTL8	-8.487
ACTL9	-6.961
ACTN1	-7.158
ACTN2	-8.044
ACTN3	-3.046
ACTN4	-8.280
ACTR10	19.016
ACTR1A	-7.152
ACTR1B	-6.664
ACTR2	15.304
ACTR3	7.885
ACTR3B	-2.714
ACTR3C	-4.747
ACTR5	-1.264
ACTR6	4.629
ACTR8	1.396
ACTRT1	-4.116
ACTRT2	-8.365
ACTRT3	-3.220
ACVR1	-7.711
ACVR1B	-10.299
ACVR1C	-7.526
ACVR2A	-3.691
ACVR2B	-11.827
ACVRL1	-3.338
ACY1	-9.611
ACY3	-5.468
ACYP1	-5.887
ACYP2	-4.391
ADA	-6.668
ADA2	-9.399
ADAD1	-9.596
ADAD2	-6.829
ADAL	-3.773
ADAM10	-0.499
ADAM11	1.734
ADAM12	-3.711
ADAM15	-5.738
ADAM17	-13.223
ADAM18	-10.335
ADAM19	-9.110
ADAM2	-8.304
ADAM20	-10.606
ADAM21	-10.959
ADAM22	-11.589
ADAM23	-11.243
ADAM28	-4.642
ADAM29	-2.816
ADAM30	-6.312
ADAM32	-6.562
ADAM33	-5.775
ADAM7	-15.952
ADAM8	-8.832
ADAM9	-4.186
ADAMDEC1	-10.274
ADAMTS1	-7.556
ADAMTS10	-5.152
ADAMTS12	-5.908
ADAMTS13	-8.643
ADAMTS14	-9.975
ADAMTS15	-4.682
ADAMTS16	-11.942
ADAMTS17	-6.921
ADAMTS18	-5.025
ADAMTS19	-2.804
ADAMTS2	-6.212
ADAMTS20	-6.198
ADAMTS3	-9.533
ADAMTS4	-2.936
ADAMTS5	-8.802
ADAMTS6	-8.030
ADAMTS7	-8.679
ADAMTS8	-9.676
ADAMTS9	-0.396
ADAMTSL1	-8.146
ADAMTSL2	-5.011
ADAMTSL3	-4.662
ADAMTSL4	-6.453
ADAMTSL5	-4.157
ADAP1	-5.044
ADAP2	-8.691
ADAR	-1.251
ADARB1	-11.163
ADARB2	-7.093
ADAT1	-9.602
ADAT2	-4.986
ADAT3	-6.121
ADCK1	-9.292
ADCK2	-6.184
ADCK5	0.656
ADCY1	-4.806
ADCY10	-6.575
ADCY2	-9.821
ADCY3	-6.784
ADCY4	-7.653
ADCY5	-7.545
ADCY6	-8.072
ADCY7	-8.727
ADCY8	-9.341
ADCY9	-7.939
