GENE	BF
A1BG	-6.337
A1CF	-9.659
A2M	-9.600
A2ML1	-7.942
A3GALT2	-10.184
A4GALT	-3.291
A4GNT	-3.608
AAAS	-9.078
AACS	-7.108
AADAC	-10.645
AADACL2	-2.543
AADACL3	-3.462
AADACL4	-2.388
AADAT	-7.103
AAGAB	-3.196
AAK1	-8.557
AAMDC	-3.657
AAMP	1.222
AANAT	-8.428
AAR2	-3.202
AARD	-8.370
AARS1	23.143
AARS2	-4.951
AARSD1	-1.413
AASDH	-9.021
AASDHPPT	6.915
AASS	-9.563
AATF	-1.606
AATK	-5.001
ABAT	-5.017
ABCA1	-4.649
ABCA10	-5.844
ABCA12	-3.373
ABCA13	-3.341
ABCA2	-0.501
ABCA3	-5.893
ABCA4	-1.123
ABCA5	-5.978
ABCA6	-6.814
ABCA7	-5.116
ABCA8	-9.691
ABCA9	-9.636
ABCB1	-6.632
ABCB10	-4.585
ABCB11	-7.805
ABCB4	-8.603
ABCB5	-4.179
ABCB6	-2.204
ABCB7	19.185
ABCB8	-6.322
ABCB9	-13.085
ABCC1	-5.241
ABCC10	-6.389
ABCC11	-5.068
ABCC12	-9.612
ABCC2	-9.592
ABCC3	-5.945
ABCC4	-7.058
ABCC5	-5.375
ABCC6	-4.649
ABCC8	-11.053
ABCC9	-9.113
ABCD1	-6.468
ABCD2	-9.247
ABCD3	-6.682
ABCD4	-1.535
ABCE1	14.474
ABCF1	8.531
ABCF2	-4.072
ABCF3	-9.124
ABCG1	-8.309
ABCG2	-5.529
ABCG4	-7.868
ABCG5	-6.393
ABCG8	-6.781
ABHD1	-8.690
ABHD10	-3.434
ABHD11	-3.709
ABHD12	-10.515
ABHD12B	-4.624
ABHD13	-9.092
ABHD14A	-9.627
ABHD14B	-3.628
ABHD15	-4.759
ABHD16A	-3.138
ABHD16B	-12.743
ABHD17A	-6.691
ABHD17B	-9.574
ABHD17C	-9.728
ABHD18	-6.991
ABHD2	-3.489
ABHD3	-6.490
ABHD4	-5.717
ABHD5	-5.952
ABHD6	-7.570
ABHD8	-3.906
ABI1	-11.938
ABI2	-8.473
ABI3	-6.625
ABI3BP	-6.747
ABITRAM	-5.994
ABL1	-7.886
ABL2	-13.271
ABLIM1	-2.628
ABLIM2	-4.841
ABLIM3	-10.875
ABO	-8.401
ABR	-4.373
ABRA	-8.693
ABRACL	-5.123
ABRAXAS1	-4.905
ABRAXAS2	-5.917
ABT1	27.944
ABTB1	-11.375
ABTB2	-6.718
ACAA1	-8.292
ACAA2	-10.523
ACACA	17.880
ACACB	-1.968
ACAD10	-3.471
ACAD11	-4.156
ACAD8	-5.054
ACAD9	-3.632
ACADL	-3.245
ACADM	-2.413
ACADS	-4.981
ACADSB	-3.404
ACADVL	-5.516
ACAN	-1.559
ACAP1	-6.242
ACAP2	-3.267
ACAP3	-8.245
ACAT1	-6.000
ACAT2	2.975
ACBD3	-7.462
ACBD4	-8.897
ACBD5	-5.015
ACBD6	-11.053
ACBD7	-7.939
ACCS	-4.819
ACCSL	-8.674
ACD	0.631
ACE	-13.058
ACE2	-12.348
ACER1	-3.801
ACER2	-8.219
ACER3	-6.399
ACHE	-6.017
ACIN1	-9.512
ACKR1	-4.267
ACKR2	-9.852
ACKR3	-11.615
ACKR4	-7.200
ACLY	-2.695
ACMSD	-6.626
ACO1	-6.685
ACO2	-5.851
ACOD1	-6.510
ACOT1	-9.936
ACOT11	-1.038
ACOT12	-4.614
ACOT13	-7.896
ACOT2	-3.705
ACOT4	-7.405
ACOT6	-5.869
ACOT7	-11.801
ACOT8	-4.575
ACOT9	-11.185
ACOX1	-4.001
ACOX2	-6.441
ACOX3	-8.358
ACOXL	-8.417
ACP1	-4.487
ACP2	-7.257
ACP4	-8.522
ACP5	-5.110
ACP6	-8.106
ACP7	-9.803
ACPP	-6.712
ACR	-3.744
ACRBP	-6.096
ACRV1	-5.732
ACSBG1	-6.852
ACSBG2	-8.702
ACSF2	-6.595
ACSF3	-6.600
ACSL1	-8.273
ACSL3	-5.501
ACSL4	-8.525
ACSL5	-8.143
ACSL6	-10.684
ACSM1	-10.025
ACSM2A	-5.745
ACSM2B	-7.688
ACSM3	-6.833
ACSM4	-11.291
ACSM5	-5.465
ACSM6	-11.052
ACSS1	-5.255
ACSS2	-9.258
ACSS3	-2.772
ACTA1	-5.713
ACTA2	-6.022
ACTB	-1.063
ACTBL2	-3.392
ACTC1	-2.828
ACTG1	-5.410
ACTG2	-4.097
ACTL10	-9.484
ACTL6A	13.584
ACTL6B	-3.420
ACTL7A	-7.101
ACTL7B	-7.149
ACTL8	-6.368
ACTL9	-7.566
ACTN1	-6.568
ACTN2	-10.088
ACTN3	-2.284
ACTN4	-8.524
ACTR10	24.056
ACTR1A	-9.095
ACTR1B	-6.131
ACTR2	14.199
ACTR3	4.504
ACTR3B	-5.527
ACTR3C	-4.839
ACTR5	-0.645
ACTR6	0.031
ACTR8	4.434
ACTRT1	-6.110
ACTRT2	-7.077
ACTRT3	-0.706
ACVR1	-8.507
ACVR1B	-12.649
ACVR1C	-6.865
ACVR2A	-2.789
ACVR2B	-7.031
ACVRL1	-5.404
ACY1	-9.663
ACY3	-4.722
ACYP1	-8.370
ACYP2	-7.525
ADA	-10.064
ADA2	-10.534
ADAD1	-7.182
ADAD2	-7.347
ADAL	-3.276
ADAM10	-3.279
ADAM11	-1.376
ADAM12	-4.558
ADAM15	-2.614
ADAM17	-12.752
ADAM18	-10.295
ADAM19	-11.437
ADAM2	-4.773
ADAM20	-8.927
ADAM21	-6.271
ADAM22	-7.385
ADAM23	-11.683
ADAM28	-6.281
ADAM29	-5.710
