position	minimum	lower_whisker	Q1_25th_pctile	median_centre	Q3_75th_pctile	upper_whisker	maximum
Day 0 (R1)	144.35616999087995	319.10311261141885	511.3247494940116	597.9384514885396	662.1389586686942	851.7014029461917	927.678334520339
Day 11 (R1)	137.93638923539197	248.6484911216934	511.36286404041687	603.4717029048397	690.1356842994446	941.960342278532	1067.1920640843482
Day 21 (R1)	110.07801007350936	174.94540886682734	503.2137603360427	598.0577600868788	722.1412312634909	1049.672453200964	1160.7333026501296
Day 0 (R1)	195.78007166663073	299.6446167292095	525.0674457256471	605.2637426876823	689.1366607138798	881.4699001328586	978.9003583331536
Day 11 (R1)	229.6681756491164	229.6681756491164	468.0030749076335	604.5039717556933	769.1717203343051	1074.673727565677	1945.6794503104393
Day 21 (R1)	94.41071812969712	94.41071812969712	398.0192865036152	553.8988534875396	816.414986992057	1400.5388545570895	2919.9401240256684
Day 0 (R2)	184.7190547075081	306.465704401093	519.1724946703447	594.7393806870525	682.5509010120232	923.5952735375404	986.5676785514636
Day 11 (R2)	191.55894307597904	238.11840840694617	506.1679016695141	591.3052097032826	699.7222504025345	981.7395832643924	1066.8768912981611
Day 21 (R2)	188.42981401688616	188.42981401688616	482.51102664439645	588.9793175123191	714.7807251363096	996.0639590661413	996.0639590661413
Day 0 (R2)	121.94565780064896	272.8062653890807	520.1548032476136	596.5279858392571	693.0159161093582	918.99253455953	1091.2250615563228
Day 11 (R2)	81.6566631381374	173.664170899419	470.38838342955216	607.8245981479664	714.2082789969483	1066.1369961838504	1332.958768691567
Day 21 (R2)	107.7906166475261	107.7906166475261	468.2745867955026	603.2492405361548	828.7585569434791	1205.5529493473314	2337.354424146355
