position	minimum	lower_whisker	Q1_25th_pctile	median_centre	Q3_75th_pctile	upper_whisker	maximum
Day 0 (R1)	47.105697575971355	164.11017220015827	420.9122009207763	508.28567223104574	601.7372980672469	870.6956358397285	1001.375958147262
Day 11 (R1)	0	0	201.45972638326984	321.2465907192681	442.84840754520576	802.2090005532006	1087.1565414736813
Day 21 (R1)	0.9828393756563334	0.9828393756563334	119.90640383007268	232.44151234272283	375.44464150071934	755.8034798797204	1212.8237895599154
Day 0 (R1)	38.60452117370183	164.52879262125305	433.8412855711254	519.3227253128938	614.9148729811078	882.3890553988991	1064.381798074922
Day 11 (R1)	4.33336180470031	4.33336180470031	197.1679621138641	312.0020499384223	452.8363085911824	836.3388283071598	1339.0087976523955
Day 21 (R1)	0.6792137994942239	0.6792137994942239	96.4483595281798	213.6127399409334	391.22714850867294	831.35769058093	2730.43947396678
Day 0 (R2)	44.78037689878984	183.31966792942092	440.80683509746245	528.968202116955	617.1295691364475	880.2142834168378	1104.116167910787
Day 11 (R2)	3.990811314082897	3.990811314082897	227.14367729321822	340.54923213507385	458.94330111953315	800.8228036926346	1173.2985263403716
Day 21 (R2)	0.544594838199093	0.544594838199093	132.3365456823796	250.24132815248325	384.62010447810945	762.4327734787303	1076.6639951196069
Day 0 (R2)	41.48666708681872	132.00303163987775	407.3236404887657	502.868691961439	594.9565211768776	876.2486957428075	1058.5385965788291
Day 11 (R2)	1.1500938470160198	1.1500938470160198	149.51220011208258	270.27205404876463	414.0337849257671	809.666068299278	1257.0525747885097
Day 21 (R2)	0	0	70.91487937337243	179.65102774587683	380.10375344127624	843.4142986806428	2321.280384821724
