Label	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene	CellLine
CON_r1_d0	38937869	27092664	69.58	37722	0	0.02298	0	1	1	1	0	CON
CON_r1_d21	26058631	17737681	68.07	37722	1	0.04316	0	1	1	1	0	CON
CON_r1_d11	14847706	10093936	67.97999999999999	37722	2	0.03797	0	1	1	1	0	CON
CON_r2_d0	21776822	15006516	68.91000000000001	37722	0	0.02502	0	1	1	1	0	CON
CON_r2_d21	46563743	31606363	67.88	37722	1	0.03606	0	1	1	1	0	CON
CON_r2_d11	20130964	13856138	68.83	37722	1	0.03339	0	1	1	1	0	CON
KO_r1_d0	33073241	23007450	69.57	37722	1	0.02349	0	1	1	1	0	KO
KO_r1_d21	41834413	28242986	67.51	37722	1	0.06091	0	1	1	1	0	KO
KO_r1_d11	12787984	8769619	68.58	37722	1	0.04629	0	1	1	1	0	KO
KO_r2_d0	23736044	16473297	69.39999999999999	37722	0	0.02537	0	1	1	1	0	KO
KO_r2_d21	30791936	20873956	67.78999999999999	37722	2	0.06863	0	1	1	1	0	KO
KO_r2_d11	23227327	15910913	68.5	37722	1	0.04461	0	1	1	1	0	KO
Plasmid	75186421	51113115	67.97999999999999	37722	0	0.02177	0	1	1	1	0	Plasmid
