Entrez Gene ID,Gene Name,Description
43,ACHE,acetylcholinesterase (Yt blood group)
95,ACY1,aminoacylase 1
104,ADARB1,"adenosine deaminase, RNA-specific, B1"
141,ADPRH,ADP-ribosylarginine hydrolase
142,PARP1,poly (ADP-ribose) polymerase 1
185,AGTR1,"angiotensin II receptor, type 1"
196,AHR,aryl hydrocarbon receptor
199,AIF1,allograft inflammatory factor 1
231,AKR1B1,"aldo-keto reductase family 1, member B1 (aldose reductase)"
246,ALOX15,arachidonate 15-lipoxygenase
247,ALOX15B,"arachidonate 15-lipoxygenase, type B"
249,ALPL,"alkaline phosphatase, liver/bone/kidney"
268,AMH,anti-Mullerian hormone
274,BIN1,bridging integrator 1
301,ANXA1,annexin A1
310,ANXA7,annexin A7
317,APAF1,apoptotic peptidase activating factor 1
324,APC,adenomatous polyposis coli
355,FAS,Fas cell surface death receptor
375,ARF1,ADP-ribosylation factor 1
383,ARG1,arginase 1
387,RHOA,ras homolog family member A
388,RHOB,ras homolog family member B
390,RND3,Rho family GTPase 3
401,PHOX2A,paired-like homeobox 2a
406,ARNTL,aryl hydrocarbon receptor nuclear translocator-like
429,ASCL1,achaete-scute family bHLH transcription factor 1
445,ASS1,argininosuccinate synthase 1
463,ZFHX3,zinc finger homeobox 3
467,ATF3,activating transcription factor 3
472,ATM,ATM serine/threonine kinase
545,ATR,ATR serine/threonine kinase
563,AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
580,BARD1,BRCA1 associated RING domain 1
581,BAX,BCL2-associated X protein
613,BCR,breakpoint cluster region
634,CEACAM1,carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
638,BIK,BCL2-interacting killer (apoptosis-inducing)
639,PRDM1,"PR domain containing 1, with ZNF domain"
641,BLM,"Bloom syndrome, RecQ helicase-like"
650,BMP2,bone morphogenetic protein 2
652,BMP4,bone morphogenetic protein 4
657,BMPR1A,"bone morphogenetic protein receptor, type IA"
659,BMPR2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
665,BNIP3L,BCL2/adenovirus E1B 19kDa interacting protein 3-like
668,FOXL2,forkhead box L2
672,BRCA1,"breast cancer 1, early onset"
675,BRCA2,"breast cancer 2, early onset"
678,ZFP36L2,ZFP36 ring finger protein-like 2
688,KLF5,Kruppel-like factor 5 (intestinal)
695,BTK,Bruton agammaglobulinemia tyrosine kinase
822,CAPG,"capping protein (actin filament), gelsolin-like"
835,CASP2,"caspase 2, apoptosis-related cysteine peptidase"
838,CASP5,"caspase 5, apoptosis-related cysteine peptidase"
841,CASP8,"caspase 8, apoptosis-related cysteine peptidase"
847,CAT,catalase
857,CAV1,"caveolin 1, caveolae protein, 22kDa"
860,RUNX2,runt-related transcription factor 2
861,RUNX1,runt-related transcription factor 1
863,CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3"
864,RUNX3,runt-related transcription factor 3
867,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase"
889,KRIT1,"KRIT1, ankyrin repeat containing"
892,CCNC,cyclin C
920,CD4,CD4 molecule
960,CD44,CD44 molecule (Indian blood group)
999,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)"
1002,CDH4,"cadherin 4, type 1, R-cadherin (retinal)"
1003,CDH5,"cadherin 5, type 2 (vascular endothelium)"
1009,CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)"
1012,CDH13,cadherin 13
1015,CDH17,"cadherin 17, LI cadherin (liver-intestine)"
1017,CDK2,cyclin-dependent kinase 2
1021,CDK6,cyclin-dependent kinase 6
1026,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
1027,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
1028,CDKN1C,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"
1029,CDKN2A,cyclin-dependent kinase inhibitor 2A
1030,CDKN2B,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"
1031,CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
1036,CDO1,cysteine dioxygenase type 1
1045,CDX2,caudal type homeobox 2
1050,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha"
1052,CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta"
1080,CFTR,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"
1105,CHD1,chromodomain helicase DNA binding protein 1
1111,CHEK1,checkpoint kinase 1
1147,CHUK,conserved helix-loop-helix ubiquitous kinase
1191,CLU,clusterin
1264,CNN1,"calponin 1, basic, smooth muscle"
1316,KLF6,Kruppel-like factor 6
1326,MAP3K8,mitogen-activated protein kinase kinase kinase 8
1387,CREBBP,CREB binding protein
1390,CREM,cAMP responsive element modulator
1437,CSF2,colony stimulating factor 2 (granulocyte-macrophage)
1452,CSNK1A1,"casein kinase 1, alpha 1"
1473,CST5,cystatin D
1474,CST6,cystatin E/M
1490,CTGF,connective tissue growth factor
1496,CTNNA2,"catenin (cadherin-associated protein), alpha 2"
1500,CTNND1,"catenin (cadherin-associated protein), delta 1"
1523,CUX1,cut-like homeobox 1
1528,CYB5A,cytochrome b5 type A (microsomal)
1540,CYLD,cylindromatosis (turban tumor syndrome)
1601,DAB2,"Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)"
1602,DACH1,dachshund family transcription factor 1
1612,DAPK1,death-associated protein kinase 1
1613,DAPK3,death-associated protein kinase 3
1620,BRINP1,bone morphogenetic protein/retinoic acid inducible neural-specific 1
